Location,Region,Year,Month Number,Month Name,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,South,2023,2,February,2,09:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
